"","coef","exp(coef)","se(coef)","z","Pr(>|z|)"
"hormon",0.260558546708311,1.29765468503877,0.0794994168309492,3.27749003822724,0.00104734426151495
"chemo",0.187258893228483,1.20593945419759,0.0619476734012306,3.02285595159678,0.0025040140500907
