"","coef","exp(coef)","se(coef)","z","Pr(>|z|)"
"hormon",0.41708282877576,1.51752820273286,0.0854793364123931,4.87934097620451,1.06440906042371e-06
"chemo",0.066221865627311,1.06846374625004,0.069906178791555,0.947296315891764,0.343487807609434
